Compound,Acronym,CAS,PFAS18,PFAS6
"1H,1H,2H,2H-perfluorododecanesulfonic (10:2)",10:2FTS,120226-60-0,,
11-chloroeicosafluoro-3-oxaundecane  -1-sulfonic acid,11Cl-PF 3OUdS,763051-92-9,1,
"1H,1H,2H,2H-perfluorohexanesulfonic acid (4:2)",4:2FTS,757124-72-4,,
"1H,1H,2H,2H-perfluorooctanesulfonic acid (6:2)",6:2FTS,27619-97-2,,
"1H,1H,2H,2H-perfluorodecanesulfonic acid (8:2)",8:2FTS,39108-34-4,,
9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,9Cl-PF 3ONS,756426-58-1,1,
"4,8-dioxa-3H-perfluorononanoic acid",ADONA,919005-14-4,1,
Perfluorooctanesulfonamide,FOSA,754-91-6,,
Tetrafluoro-2-(heptafluoropropoxy)propanoic  acid (“GenX”),HFPO-DA,62037-80-3,1,
N-ethylperfluoro-1-octanesulfonamide,N-EtFOSA,4151-50-2,,
N-ethylperfluoro-1-octanesulfonamide,NEtFOSA,4151-50-2,,
N-ethyl perfluorooctanesulfonamidoacetic  acid,N-EtFOSAA,2991-50-6,1,
N-ethyl perfluorooctanesulfonamidoacetic  acid,NEtFOSAA,2991-50-6,1,
2-(N-ethylperfluoro-1-octanesulfonamido)- ethanol,N-EtFOSE,1691-99-2,,
2-(N-ethylperfluoro-1-octanesulfonamido)- ethanol,NEtFOSE,1691-99-2,,
N-methylperfluoro-1-octanesulfonamide,N-MeFOSA,31506-32-8,,
N-methylperfluoro-1-octanesulfonamide,NMeFOSA,31506-32-8,,
N-methyl perfluorooctanesulfonamidoacetic  acid,N-MeFOSAA,2355-31-9,1,
N-methyl perfluorooctanesulfonamidoacetic  acid,NMeFOSAA,2355-31-9,1,
2-(N-methylperfluoro-1-octanesulfonamido)- ethanol,N-MeFOSE,24448-09-7,,
2-(N-methylperfluoro-1-octanesulfonamido)- ethanol,NMeFOSE,24448-09-7,,
Perfluorobutanoic acid,PFBA,375-22-4,,
Perfluorobutanesulfonic acid,PFBS,375-73-5,1,
Perfluorodecanoic acid,PFDA,335-76-2,1,1
Perfluorododecanoic acid,PFDoA,307-55-1,1,
Perfluorododecanesulfonic acid,PFDoS,79780-39-5,,
Perfluorodecanesulfonic acid,PFDS,335-77-3,,
Perfluoroheptanoic acid,PFHpA,375-85-9,1,1
Perfluoroheptanesulfonic acid,PFHpS,375-92-8,,
Perfluorohexanoic acid,PFHxA,307-24-4,1,
Perfluorohexadecanoic acid,PFHxDA,67905-19-5,,
Perfluorohexanesulfonic acid,PFHxS,355-46-4,1,1
Perfluorononanoic acid,PFNA,375-95-1,1,1
Perfluorononanesulfonic acid,PFNS,68259-12-1,,
Perfluorooctanoic acid,PFOA,335-67-1,1,1
Perfluorooctadecanoic acid,PFODA,16517-11-6,,
Perfluorooctanesulfonic acid,PFOS,1763-23-1,1,1
Perfluoropentanoic acid,PFPeA,2706-90-3,,
Perfluoropentanesulfonic acid,PFPeS,2706-91-4,,
Perfluorotetradecanoic acid,PFTA,376-06-7,1,
Perfluorotridecanoic acid,PFTrDA,72629-94-8,1,
Perfluoroundecanoic acid,PFUnA,2058-94-8,1,
