Acronym,lab,RL,MDL
11Cl-PF 3OUdS,Alpha,1.84,0.193
11Cl-PF 3OUdS,Con-Test,2.011310782,2.011310782
11Cl-PF 3OUdS,SGS,1.925655391,0.503113115
9Cl-PF 3ONS,Alpha,1.84,0.253
9Cl-PF 3ONS,Con-Test,2.011310782,2.011310782
9Cl-PF 3ONS,SGS,7.4,2
ADONA,Alpha,1.84,0.066
ADONA,Con-Test,2.011310782,2.011310782
ADONA,SGS,7.4,2
HFPO-DA,Alpha,1.87,0.4155
HFPO-DA,Con-Test,2.011310782,2.011310782
HFPO-DA,SGS,1.940655391,1.213405391
NEtFOSAA,Alpha,1.84,0.516
NEtFOSAA,Con-Test,2.010469667,2.010469667
NEtFOSAA,SGS,3.7,1.83
NMeFOSAA,Alpha,1.84,0.553
NMeFOSAA,Con-Test,2.010469667,2.010469667
NMeFOSAA,SGS,3.7,1.83
PFBS,Alpha,1.84,0.261
PFBS,Con-Test,2.010469667,2.010469667
PFBS,SGS,1.9,0.71
PFDA,Alpha,1.84,0.592
PFDA,Con-Test,2.010469667,2.010469667
PFDA,SGS,1.9,0.71
PFDoA,Alpha,1.84,0.596
PFDoA,Con-Test,2.010469667,2.010469667
PFDoA,SGS,3.7,0.71
PFHpA,Alpha,1.84,0.239
PFHpA,Con-Test,2.010469667,2.010469667
PFHpA,SGS,1.9,0.71
PFHxA,Alpha,1.84,0.242
PFHxA,Con-Test,2.010469667,2.010469667
PFHxA,SGS,3.7,0.71
PFHxS,Alpha,1.84,0.442
PFHxS,Con-Test,2.151369863,2.151369863
PFHxS,SGS,1.9,0.71
PFNA,Alpha,1.84,0.438
PFNA,Con-Test,2.010469667,2.010469667
PFNA,SGS,1.9,0.71
PFOA,Alpha,1.84,0.574
PFOA,Con-Test,2.010469667,2.010469667
PFOA,SGS,1.9,0.71
PFOS,Alpha,1.84,0.453
PFOS,Con-Test,2.4018591,2.4018591
PFOS,SGS,1.9,0.71
PFTA,Alpha,1.84,0.3975
PFTA,Con-Test,2.010510806,2.010510806
PFTA,SGS,3.7,0.71
PFTrDA,Alpha,1.84,0.467
PFTrDA,Con-Test,2.010469667,2.010469667
PFTrDA,SGS,3.7,0.71
PFUnA,Alpha,1.84,0.394
PFUnA,Con-Test,2.010469667,2.010469667
PFUnA,SGS,3.7,0.71
